term	Category	Freq	Term	Total	loglift	logprob	Relevance
1413	Default	3490.0	identity	3490.0	30.0	30.0	30.0
519	Default	3089.0	child	3089.0	29.0	29.0	29.0
2491	Default	2411.0	body	2411.0	28.0	28.0	28.0
1216	Default	2464.0	strategy	2464.0	27.0	27.0	27.0
965	Default	2426.0	school	2426.0	26.0	26.0	26.0
17	Default	2397.0	culture	2397.0	25.0	25.0	25.0
1509	Default	2558.0	family	2558.0	24.0	24.0	24.0
224	Default	2947.0	community	2947.0	23.0	23.0	23.0
139	Default	2135.0	age	2135.0	22.0	22.0	22.0
3205	Default	1933.0	program	1933.0	21.0	21.0	21.0
857	Default	2105.0	space	2105.0	20.0	20.0	20.0
164	Default	2612.0	student	2612.0	19.0	19.0	19.0
1060	Default	2092.0	policy	2092.0	18.0	18.0	18.0
2370	Default	1743.0	masculinity	1743.0	17.0	17.0	17.0
1448	Default	2062.0	girl	2062.0	16.0	16.0	16.0
416	Default	1841.0	mother	1841.0	15.0	15.0	15.0
1636	Default	2373.0	discourse	2373.0	14.0	14.0	14.0
3669	Default	2403.0	sex	2403.0	13.0	13.0	13.0
1694	Default	1784.0	project	1784.0	12.0	12.0	12.0
3749	Default	1677.0	sexuality	1677.0	11.0	11.0	11.0
947	Default	1679.0	boy	1679.0	10.0	10.0	10.0
421	Default	1388.0	network	1388.0	9.0	9.0	9.0
698	Default	1503.0	lesbian	1503.0	8.0	8.0	8.0
3560	Default	1577.0	parent	1577.0	7.0	7.0	7.0
376	Default	1556.0	partner	1556.0	6.0	6.0	6.0
453	Default	1604.0	scale	1604.0	5.0	5.0	5.0
329	Default	1611.0	stereotype	1611.0	4.0	4.0	4.0
319	Default	2199.0	problem	2199.0	3.0	3.0	3.0
631	Default	1332.0	couple	1332.0	2.0	2.0	2.0
2870	Default	1419.0	patient	1419.0	1.0	1.0	1.0
1978	Topic1	562.5095712920554	wife	570.2038018384266	4.7405	-3.5282	-0.2207199999999998
1669	Topic1	571.419889778058	husband	581.8033110779394	4.7361	-3.5125	-0.21305999999999958
3506	Topic1	361.38914857121034	sexual_harassment	369.3641915197503	4.7322	-3.9707	-0.48953999999999986
7127	Topic1	417.96392444196624	harassment	428.36226685570495	4.7295	-3.8252	-0.4033199999999999
631	Topic1	1299.8986019987783	couple	1332.4118985607772	4.7294	-2.6906	0.2774000000000003
3063	Topic1	1128.7395165179146	marriage	1160.1461646620405	4.7266	-2.8318	0.1915600000000004
1112	Topic1	475.73596922384877	spouse	489.0603931148507	4.7265	-3.6958	-0.32688000000000006
2250	Topic1	301.0918005319424	marry	316.522993676295	4.7041	-4.1532	-0.6102799999999997
1671	Topic1	126.51128584749435	marital_satisfaction	133.50580916803779	4.7003	-5.0203	-1.1320599999999996
4164	Topic1	207.10389324701381	marital	219.4795369816886	4.696	-4.5274	-0.8380399999999999
2249	Topic1	146.17593566456057	married	157.176111627231	4.6815	-4.8758	-1.0528799999999998
12993	Topic1	70.33731205415695	smile	77.72530474041463	4.6542	-5.6073	-1.5027
376	Topic1	1395.1235276703892	partner	1556.5115494379077	4.6446	-2.6199	0.28590000000000004
34437	Topic1	50.26480865502237	sext	57.24895829506896	4.624	-5.9433	-1.7163799999999998
7933	Topic1	47.97916058887017	married_couple	55.0970718548383	4.6157	-5.9899	-1.7476599999999993
5788	Topic1	96.21320643523124	withdrawal	111.03027180348244	4.6108	-5.2941	-1.3321399999999999
8338	Topic1	76.48963910594685	married_women	88.45921818211775	4.6087	-5.5235	-1.4706200000000003
8508	Topic1	77.2165967623089	married_woman	89.37215024644851	4.6079	-5.514	-1.46524
9235	Topic1	42.113428003020935	husbands_wif	49.334864934269916	4.5958	-6.1203	-1.83386
8505	Topic1	61.555874903419046	hurt	72.62465164547679	4.5887	-5.7407	-1.6089399999999998
17677	Topic1	83.69923973146531	cosmetic_surgery	98.7943280893314	4.5883	-5.4334	-1.4247199999999993
10345	Topic1	53.430709087899935	sexual_coercion	63.11651176402978	4.5875	-5.8822	-1.6943199999999996
9391	Topic1	41.026344329670756	beat	48.8011501062648	4.5805	-6.1464	-1.8556399999999995
11215	Topic1	38.03959289722255	mistreatment	45.32050515237184	4.5789	-6.222	-1.90164
8335	Topic1	53.68889930046417	family_work	65.95827840418467	4.5483	-5.8774	-1.7071199999999993
19665	Topic1	31.51323304974673	parental_status	39.114317385594376	4.538	-6.4102	-2.030919999999999
5984	Topic1	28.608048064751006	sexually_harass	35.79450061712362	4.53	-6.5069	-2.0921399999999997
32408	Topic1	28.41005924780187	ymsm	35.55131078922936	4.5298	-6.5139	-2.0964199999999993
12091	Topic1	27.841959752119752	marital_conflict	34.99424134251172	4.5254	-6.5341	-2.110299999999999
5025	Topic1	129.34273848952384	intimate_relationship	163.24012867549595	4.5213	-4.9982	-1.1903999999999995
16231	Topic1	113.2143473887199	walk	144.2771198543722	4.5116	-5.1313	-1.27414
6996	Topic1	66.99479432298183	unmarried	85.66697440962973	4.5082	-5.656	-1.5903199999999995
5978	Topic1	82.36431970027567	coercion	113.97011268402845	4.4293	-5.4495	-1.4979799999999999
535	Topic1	172.88355044755878	marital_status	260.0258637234862	4.3459	-4.708	-1.08644
1729	Topic1	47.426548858619675	withdraw	62.3695827323343	4.4802	-6.0014	-1.8087599999999997
320	Topic1	339.18407865112357	relationship	3616.234163425025	2.3874	-4.0341	-1.4654999999999998
1383	Topic1	81.5575387061096	spend	198.52367717929985	3.8645	-5.4593	-1.7297799999999997
942	Topic1	57.38573131418041	traditional_gender_role	112.0911163217317	4.0846	-5.8108	-1.85264
298	Topic1	136.57384827689089	role	2937.044415232214	1.6858	-4.9438	-2.2919600000000004
323	Topic1	87.44430377588509	behavior	2163.52230868368	1.5456	-5.3896	-2.6155199999999996
749	Topic1	70.34942263281808	share	1061.404470414089	2.0402	-5.6072	-2.54824
241	Topic1	70.02790678332583	household	1116.9765666656767	1.9846	-5.6117	-2.57318
107	Topic1	73.71469296500192	support	2917.28621421325	1.0759	-5.5604	-2.90588
426	Topic1	68.17997405970365	power	1453.2128287601058	1.6947	-5.6385	-2.7052199999999997
2502	Topic2	599.7918616351569	pain	609.3393829648205	4.5769	-3.6254	-0.3444799999999999
7996	Topic2	473.2480565871346	journal	482.67990707495335	4.573	-3.8624	-0.4882399999999998
6148	Topic2	213.68045381170194	wealth	232.8521303019285	4.5068	-4.6575	-0.9917799999999997
4410	Topic2	172.58444920776125	fat	189.2141299969614	4.5007	-4.8711	-1.12238
9611	Topic2	99.65411351566394	inheritance	110.23977977042729	4.4917	-5.4203	-1.4555
10712	Topic2	90.7536217536026	reflexivity	101.77797739785937	4.4781	-5.5139	-1.5170999999999997
6895	Topic2	151.33098045138303	special_issue	170.30235895396373	4.4746	-5.0025	-1.2116600000000002
24138	Topic2	53.88633150351636	fatness	60.91156673095255	4.4702	-6.0351	-1.8329799999999998
13350	Topic2	55.22991028845975	prostate_cancer	62.582691258336354	4.4677	-6.0105	-1.81922
3684	Topic2	159.05019108218048	evolutionary	180.51524646016173	4.4661	-4.9528	-1.1852399999999996
25736	Topic2	171.6852245428781	gaªnero	194.98065874862604	4.4655	-4.8763	-1.1395799999999996
7336	Topic2	185.5050490326085	biology	212.04625276686008	4.459	-4.7989	-1.0957399999999997
11662	Topic2	66.57762379353416	feminista	76.63906232413136	4.452	-5.8236	-1.7133599999999998
16605	Topic2	99.71629318504965	das	115.1098850808488	4.4491	-5.4197	-1.47218
9332	Topic2	60.013880654286	brazil	70.55251004033578	4.4309	-5.9274	-1.7840799999999997
3442	Topic2	287.9588493163312	brazilian	339.7785904677326	4.4272	-4.3592	-0.8446400000000001
26303	Topic2	57.5502943971418	aµes	68.67016368183184	4.416	-5.9694	-1.81524
26149	Topic2	40.31903288032852	feminismo	48.27112553239691	4.4127	-6.3252	-2.0300399999999996
57	Topic2	1025.8550138423684	article	1228.7105038601005	4.4123	-3.0887	-0.08829999999999982
13917	Topic2	36.82900157438653	experimenter	44.42117686451495	4.4053	-6.4157	-2.0872999999999995
31387	Topic2	30.813038882307247	emotion_dysregulation	37.80486474918557	4.3882	-6.5941	-2.20118
25284	Topic2	35.60333508983252	peer_review	43.865947121674004	4.384	-6.4496	-2.11616
33936	Topic2	29.69563526497134	quot	36.67552238672177	4.3816	-6.631	-2.22596
2270	Topic2	191.52201476485493	gender_studie	236.67388631477553	4.381	-4.767	-1.1078000000000001
24130	Topic2	31.978135629601358	cortical	39.5469208018912	4.3803	-6.557	-2.18208
10705	Topic2	36.61062958195566	accounts_gender	45.30600090215959	4.3796	-6.4217	-2.10118
2189	Topic2	72.36475261941773	editorial	90.12678394058528	4.3732	-5.7403	-1.6949000000000003
3880	Topic2	169.45297911367186	feminization	211.27765229152396	4.3721	-4.8894	-1.1848
21455	Topic2	45.42094266601747	inquire	56.76891222951127	4.3697	-6.206	-1.9757200000000001
26651	Topic2	60.636360597291244	brasil	75.85495025480643	4.3688	-5.9171	-1.8027399999999996
4159	Topic2	307.837637586374	biological	392.59388891388113	4.3495	-4.2924	-0.8356399999999999
9388	Topic2	91.8972746393816	publication	117.17949753635887	4.3497	-5.5013	-1.5608999999999993
13210	Topic2	82.01723130683318	citation	105.49236738584418	4.341	-5.6151	-1.6326599999999996
5009	Topic2	58.84805665216384	life_expectancy	74.71313351728044	4.354	-5.9471	-1.82666
2138	Topic2	377.6900242426786	publish	548.55113489367	4.2195	-4.0879	-0.7649399999999997
2071	Topic2	65.02599223616065	authorship	85.7110408035336	4.3165	-5.8472	-1.78172
3945	Topic2	55.95663701380773	tolerate	72.4286204926904	4.3347	-5.9974	-1.8645599999999996
2188	Topic2	96.55267490277251	editor	141.94062259760116	4.2074	-5.4519	-1.58818
5515	Topic2	102.06953469899189	social_science	156.46574409438387	4.1655	-5.3964	-1.57164
7419	Topic2	96.18103751716542	studies_gender	145.97126948380938	4.1755	-5.4558	-1.6032799999999994
310	Topic2	409.31449540536255	field	1520.586292294178	3.2803	-4.0075	-1.09238
2770	Topic2	74.05613377621914	nutrition	105.67406907974936	4.2372	-5.7172	-1.73544
886	Topic2	133.3771668905896	methodological	346.25354667621895	3.6387	-5.1288	-1.6218
579	Topic2	251.1074428890218	research	1214.8624758487097	3.0162	-4.4961	-1.49118
1057	Topic2	176.42818430967512	paper	736.3615686865757	3.1639	-4.8491	-1.6438999999999997
377	Topic2	198.3999002929876	review	1082.665106677197	2.8958	-4.7317	-1.6807
1091	Topic2	202.6953205513977	author	1278.1682622900462	2.7512	-4.7103	-1.7257
117	Topic2	176.63724516916116	contribution	1088.3823997256045	2.7743	-4.8479	-1.7990199999999998
2262	Topic2	115.87565327266674	analyze	2092.179204984924	1.6993	-5.2695	-2.4819799999999996
205	Topic2	111.16782153312495	perspective	2195.1522590542268	1.6097	-5.311	-2.54272
66	Topic2	109.2304963547277	consider	3093.1131814860846	1.2492	-5.3286	-2.6974799999999997
1500	Topic2	105.35076445552204	year	1940.3590489703531	1.6794	-5.3647	-2.54706
1000	Topic2	103.29086359618556	present	2204.6346678611076	1.5319	-5.3845	-2.61794
1010	Topic2	98.580344209218	theory	1500.7535058135352	1.8698	-5.4311	-2.5107399999999997
11128	Topic3	250.211262692447	cancer	267.5435777734533	4.7971	-4.2283	-0.6181399999999995
4669	Topic3	143.45159836191243	social_status	153.73959075993275	4.7948	-4.7847	-0.9528999999999994
4898	Topic3	94.49300784195478	couple_therapy	102.68651720505652	4.7809	-5.2021	-1.2088999999999999
5256	Topic3	85.7515743613267	sex_partner	93.84889520481548	4.7738	-5.2992	-1.2699999999999998
10303	Topic3	68.3193855581249	sexual_intercourse	78.65403886968043	4.7232	-5.5265	-1.4266199999999998
