term	Category	Freq	Term	Total	loglift	logprob	Relevance
1413	Default	3447.0	identity	3447.0	30.0	30.0	30.0
519	Default	2790.0	child	2790.0	29.0	29.0	29.0
1216	Default	2573.0	strategy	2573.0	28.0	28.0	28.0
2491	Default	2318.0	body	2318.0	27.0	27.0	27.0
139	Default	2282.0	age	2282.0	26.0	26.0	26.0
1509	Default	2633.0	family	2633.0	25.0	25.0	25.0
17	Default	2430.0	culture	2430.0	24.0	24.0	24.0
965	Default	2332.0	school	2332.0	23.0	23.0	23.0
3205	Default	2016.0	program	2016.0	22.0	22.0	22.0
2370	Default	1815.0	masculinity	1815.0	21.0	21.0	21.0
1060	Default	2129.0	policy	2129.0	20.0	20.0	20.0
224	Default	2722.0	community	2722.0	19.0	19.0	19.0
416	Default	1952.0	mother	1952.0	18.0	18.0	18.0
164	Default	2511.0	student	2511.0	17.0	17.0	17.0
1448	Default	2125.0	girl	2125.0	16.0	16.0	16.0
857	Default	1986.0	space	1986.0	15.0	15.0	15.0
1636	Default	2485.0	discourse	2485.0	14.0	14.0	14.0
3749	Default	1717.0	sexuality	1717.0	13.0	13.0	13.0
947	Default	1727.0	boy	1727.0	12.0	12.0	12.0
1694	Default	1759.0	project	1759.0	11.0	11.0	11.0
3560	Default	1619.0	parent	1619.0	10.0	10.0	10.0
376	Default	1572.0	partner	1572.0	9.0	9.0	9.0
3669	Default	2268.0	sex	2268.0	8.0	8.0	8.0
421	Default	1319.0	network	1319.0	7.0	7.0	7.0
698	Default	1418.0	lesbian	1418.0	6.0	6.0	6.0
329	Default	1606.0	stereotype	1606.0	5.0	5.0	5.0
1438	Default	1339.0	youth	1339.0	4.0	4.0	4.0
319	Default	2164.0	problem	2164.0	3.0	3.0	3.0
631	Default	1302.0	couple	1302.0	2.0	2.0	2.0
87	Default	1334.0	language	1334.0	1.0	1.0	1.0
1978	Topic1	536.3290259642233	wife	544.015590928824	4.7398	-3.5759	-0.24961999999999995
1669	Topic1	574.7745631674901	husband	585.1480499792623	4.7362	-3.5067	-0.20953999999999962
3506	Topic1	331.57820306800556	sexual_harassment	339.5453717723759	4.7303	-4.0568	-0.5419599999999998
631	Topic1	1269.767920803032	couple	1302.2689439428182	4.7288	-2.714	0.26312
7127	Topic1	405.8914549942869	harassment	416.2844328916105	4.7288	-3.8545	-0.4211800000000001
3063	Topic1	1119.5108043563807	marriage	1150.9132195774553	4.7264	-2.84	0.18656000000000006
1112	Topic1	457.75782879950407	spouse	471.05071579101383	4.7255	-3.7343	-0.3503799999999999
2250	Topic1	291.0715117126527	marry	306.47282677442166	4.7025	-4.1871	-0.6312599999999999
1671	Topic1	129.99760919982214	marital_satisfaction	136.9854295930325	4.7017	-4.9931	-1.11518
4164	Topic1	206.74497673852775	marital	219.10974728713282	4.696	-4.5291	-0.8390599999999995
2249	Topic1	143.01643584678624	married	154.00995829517265	4.68	-4.8977	-1.0666200000000003
12993	Topic1	68.76365014429386	smile	76.14370157560904	4.6521	-5.63	-1.5171599999999996
376	Topic1	1411.3111323405458	partner	1572.6698956860378	4.6458	-2.6084	0.2932800000000002
34437	Topic1	53.59066713637161	sext	60.56811695874544	4.6317	-5.8793	-1.6748999999999996
7933	Topic1	48.45085514420069	married_couple	55.56228729972126	4.6171	-5.9801	-1.74122
5788	Topic1	99.17150122190597	withdrawal	113.97924656465088	4.6149	-5.2638	-1.3123200000000002
8338	Topic1	78.2586214017642	married_women	90.21289400287326	4.6119	-5.5006	-1.4555999999999998
8508	Topic1	77.48785333107197	married_woman	89.63128060806542	4.6085	-5.5105	-1.4629
9235	Topic1	41.25249906008312	husbands_wif	48.46684268304241	4.5929	-6.1409	-1.84738
17677	Topic1	86.33018676028536	cosmetic_surgery	101.47044089241446	4.5925	-5.4025	-1.4044999999999996
8505	Topic1	61.32731938785382	hurt	72.3834070279012	4.5883	-5.7444	-1.6113199999999996
10345	Topic1	53.32705821100682	sexual_coercion	62.988015429495746	4.5876	-5.8842	-1.6954799999999994
11215	Topic1	39.30517625130783	mistreatment	46.57943718861705	4.5843	-6.1893	-1.8798599999999999
9391	Topic1	41.1968510304338	beat	48.964638469622706	4.5813	-6.1423	-1.8528599999999995
8335	Topic1	54.14630381822373	family_work	66.41213621928672	4.5499	-5.8689	-1.70138
19665	Topic1	31.53663568548301	parental_status	39.13255271405426	4.5383	-6.4095	-2.03038
32408	Topic1	29.57166878866456	ymsm	36.706074539709576	4.538	-6.4738	-2.0690799999999996
5025	Topic1	134.40743512790743	intimate_relationship	168.2373013245543	4.5296	-4.9598	-1.16404
7668	Topic1	32.89991191892462	depression_symptom	41.50844055804584	4.5217	-6.3672	-2.01164
12091	Topic1	27.238933962753695	marital_conflict	34.384768875268165	4.5211	-6.556	-2.1251599999999997
16231	Topic1	115.91120795671661	walk	146.9236764564388	4.517	-5.1078	-1.2578799999999999
6996	Topic1	67.84424691274704	unmarried	86.55929083971475	4.5105	-5.6434	-1.5818399999999997
535	Topic1	179.19608479555143	marital_status	266.0779464459936	4.3588	-4.6722	-1.0597999999999999
5978	Topic1	83.18231108511671	coercion	114.78533452238669	4.432	-5.4396	-1.4909599999999998
1729	Topic1	47.25997627090924	withdraw	62.15555969907426	4.4801	-6.005	-1.8109599999999997
