term	Category	Freq	Term	Total	loglift	logprob	Relevance
1413	Default	3628.0	identity	3628.0	30.0	30.0	30.0
519	Default	3443.0	child	3443.0	29.0	29.0	29.0
965	Default	2710.0	school	2710.0	28.0	28.0	28.0
139	Default	2476.0	age	2476.0	27.0	27.0	27.0
2491	Default	2297.0	body	2297.0	26.0	26.0	26.0
17	Default	2485.0	culture	2485.0	25.0	25.0	25.0
1216	Default	2331.0	strategy	2331.0	24.0	24.0	24.0
164	Default	2810.0	student	2810.0	23.0	23.0	23.0
3669	Default	2854.0	sex	2854.0	22.0	22.0	22.0
224	Default	2758.0	community	2758.0	21.0	21.0	21.0
1509	Default	2321.0	family	2321.0	20.0	20.0	20.0
1448	Default	2133.0	girl	2133.0	19.0	19.0	19.0
416	Default	1791.0	mother	1791.0	18.0	18.0	18.0
857	Default	1885.0	space	1885.0	17.0	17.0	17.0
1060	Default	1930.0	policy	1930.0	16.0	16.0	16.0
2370	Default	1571.0	masculinity	1571.0	15.0	15.0	15.0
1636	Default	2319.0	discourse	2319.0	14.0	14.0	14.0
421	Default	1416.0	network	1416.0	13.0	13.0	13.0
1658	Default	1994.0	organization	1994.0	12.0	12.0	12.0
698	Default	1535.0	lesbian	1535.0	11.0	11.0	11.0
453	Default	1647.0	scale	1647.0	10.0	10.0	10.0
319	Default	2236.0	problem	2236.0	9.0	9.0	9.0
3205	Default	1497.0	program	1497.0	8.0	8.0	8.0
376	Default	1521.0	partner	1521.0	7.0	7.0	7.0
947	Default	1571.0	boy	1571.0	6.0	6.0	6.0
329	Default	1609.0	stereotype	1609.0	5.0	5.0	5.0
583	Default	1254.0	sport	1254.0	4.0	4.0	4.0
202	Default	1416.0	participation	1416.0	3.0	3.0	3.0
1694	Default	1603.0	project	1603.0	2.0	2.0	2.0
631	Default	1340.0	couple	1340.0	1.0	1.0	1.0
1978	Topic1	621.6136736483016	wife	629.3989026469153	4.7416	-3.4283	-0.1603399999999997
1669	Topic1	709.7891091570805	husband	720.2770733241731	4.7394	-3.2957	-0.08165999999999984
3506	Topic1	415.45277112986776	sexual_harassment	423.51997691091685	4.7348	-3.8313	-0.4048599999999998
1112	Topic1	577.2600220526674	spouse	590.6641107278391	4.7311	-3.5023	-0.2089399999999999
7127	Topic1	425.0204426220683	harassment	435.5101920648433	4.7297	-3.8085	-0.3932199999999997
631	Topic1	1307.6388921153311	couple	1340.380412335014	4.7293	-2.6847	0.28090000000000037
3063	Topic1	994.4357116131383	marriage	1026.006248929324	4.7228	-2.9585	0.11402000000000023
2250	Topic1	293.5673725175067	marry	309.1277023100125	4.7024	-4.1785	-0.6261399999999999
1671	Topic1	121.53611793234455	marital_satisfaction	128.61458488290822	4.6975	-5.0604	-1.1572399999999998
4164	Topic1	207.93328630726768	marital	220.44565205103086	4.6956	-4.5234	-0.8357999999999999
2249	Topic1	150.64017151651825	married	161.74335855729908	4.683	-4.8457	-1.0342199999999997
12993	Topic1	69.0787749829759	smile	76.55522651170693	4.6513	-5.6254	-1.5147199999999996
376	Topic1	1358.9436772563158	partner	1521.1841791012912	4.6413	-2.6462	0.26880000000000037
7933	Topic1	46.58294302946339	married_couple	53.78628152991043	4.6103	-6.0194	-1.76752
34437	Topic1	44.972623443727315	sext	52.040636617393695	4.6081	-6.0546	-1.7895199999999996
8508	Topic1	77.42668811979121	married_woman	89.72647934547847	4.6066	-5.5113	-1.46414
8338	Topic1	74.24570568761904	married_women	86.33314663214792	4.6032	-5.5533	-1.4907
9235	Topic1	43.53890704986393	husbands_wif	50.84745404681984	4.5989	-6.087	-1.8126399999999994
5788	Topic1	88.90790556747285	withdrawal	103.83939934405495	4.5988	-5.373	-1.3842800000000002
10345	Topic1	52.610041307431125	sexual_coercion	62.450171926460214	4.5826	-5.8977	-1.70558
8505	Topic1	59.78089077106361	hurt	70.97265504419981	4.5825	-5.7699	-1.6289399999999998
17677	Topic1	75.71787378794228	cosmetic_surgery	90.88582378904925	4.5715	-5.5336	-1.4915599999999998
9391	Topic1	38.92664584581227	beat	46.78886058674825	4.5701	-6.199	-1.8913599999999997
11215	Topic1	36.397621735191755	mistreatment	43.762804707285824	4.5698	-6.2661	-1.9317399999999998
5984	Topic1	31.665442730630463	sexually_harass	38.93746887441568	4.5473	-6.4054	-2.0243199999999995
8335	Topic1	51.648149821149474	family_work	64.03618276653374	4.5391	-5.9162	-1.7340799999999996
12091	Topic1	29.564248420306523	marital_conflict	36.800529404925534	4.5351	-6.4741	-2.0704199999999995
19665	Topic1	30.725638574577683	parental_status	38.412217356941646	4.5308	-6.4355	-2.04898
32408	Topic1	26.47182555196014	ymsm	33.69649042195237	4.5128	-6.5846	-2.1456399999999993
7668	Topic1	31.245841718571494	depression_symptom	39.951088181049705	4.5083	-6.4187	-2.0479
5025	Topic1	116.3765808417732	intimate_relationship	150.43502421719006	4.4974	-5.1038	-1.2633199999999998
16231	Topic1	106.44361900921199	walk	137.59561719380082	4.4974	-5.193	-1.3168399999999996
6996	Topic1	65.55908195829548	unmarried	84.35278460943805	4.502	-5.6777	-1.6058199999999998
5978	Topic1	83.72574307056007	coercion	114.91584399681554	4.4374	-5.4331	-1.4848999999999997
535	Topic1	159.88345294474894	marital_status	247.58174538299454	4.3168	-4.7862	-1.1449999999999998
1729	Topic1	46.89073449057237	withdraw	61.953952689297	4.4755	-6.0128	-1.81748
320	Topic1	338.3006452898216	relationship	3633.8562188159094	2.38	-4.0367	-1.4700199999999999
1383	Topic1	73.8112086950558	spend	191.07690514902194	3.8029	-5.5591	-1.8142999999999998
298	Topic1	141.00387072916897	role	2927.5359005521796	1.7209	-4.9118	-2.2587200000000003
942	Topic1	55.340482829065834	traditional_gender_role	110.84949628421421	4.0594	-5.8471	-1.8844999999999998
323	Topic1	86.08564636331859	behavior	2176.5654270824243	1.5239	-5.4053	-2.63362
749	Topic1	73.80751881329469	share	1064.1859596078523	2.0856	-5.5592	-2.50128
107	Topic1	75.04034378898234	support	2897.263020987597	1.1006	-5.5426	-2.8853199999999997
426	Topic1	70.20037670198596	power	1452.4350881041903	1.7244	-5.6093	-2.67582
241	Topic1	67.07454238641431	household	1182.9985778732564	1.8841	-5.6548	-2.63924
2502	Topic2	755.9046333256633	pain	765.5492222064023	4.58	-3.3941	-0.20445999999999986
7996	Topic2	478.5073973263463	journal	488.03873600144885	4.573	-3.8513	-0.4815799999999997
6148	Topic2	204.73674938290344	wealth	223.96692189113784	4.5029	-4.7003	-1.0190199999999998
9611	Topic2	103.82990472776157	inheritance	114.54641098106703	4.4945	-5.3793	-1.4297799999999994
4410	Topic2	162.5195888163694	fat	179.43145694426892	4.4937	-4.9312	-1.1612399999999996
10712	Topic2	86.39598090673438	reflexivity	97.52291273789908	4.4716	-5.5631	-1.54922
3684	Topic2	158.55194491216537	evolutionary	180.26637083768406	4.4643	-4.9559	-1.1878199999999999
13350	Topic2	54.278347799133726	prostate_cancer	61.71786675275956	4.4642	-6.0279	-1.8310599999999995
