Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Johnson G., Billett S., Dymock D., Martin G.","The discursive (re)positioning of older workers in Australian recruitment policy reform:An exemplary analysis of written and visual narratives",2012,"Equality, Diversity and Inclusion: An International Journal","32","1",,"4","21",,4,10.1108/02610151311305588,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873529101&doi=10.1108%2f02610151311305588&partnerID=40&md5=5b69c52fa3e7cdf87a623737f01e087a","Griffith Institute for Educational Research, Griffith University, Brisbane, Australia; Department of Education, University of Technology, Sydney, Sydney, Australia","Johnson, G., Griffith Institute for Educational Research, Griffith University, Brisbane, Australia; Billett, S., Griffith Institute for Educational Research, Griffith University, Brisbane, Australia; Dymock, D., Griffith Institute for Educational Research, Griffith University, Brisbane, Australia; Martin, G., Department of Education, University of Technology, Sydney, Sydney, Australia","The purpose of this paper is to provide a methodological demonstration of how written and visual language in narrative and small stories about older workers might be read in multiple ways as supporting and/or constraining recent policy reform. Critical theory and critical discourse analysis, supported by narrative analysis and visual analysis, offer a robust methodology to problematize the manner in which textually mediated discourses impact social policy reform for recruiting, retraining and retaining older workers. The results show that still in such an “age positive” social policy environment, negative stereotypes about older workers persist, threatening to constrain social change. An exemplary analysis of two texts, representative of those related to Australian government initiatives to reform access to work for older citizens, provides an accessible means of (re)evaluating if and how such policies are more inclusive of older workers. This paper contributes to an emerging trend in organization studies using a critical discourse analytic approach not only to written texts, but also to the less familiar visual narratives and stories. © 2013, Emerald Group Publishing Limited","Australia; Critical discourse analysis; Narratives; Older workers; Policy reform; Positioning theory; Recruitment; Small stories; Written and visual texts",,,,,20407149,,,,"English","Equal. Diversity Incl.",Article,,Scopus,2-s2.0-84873529101
"Bento B.","A Campanha Internacional de Ação pela Despatologização das Identidades Trans: Entrevista com o ativista Amets Suess",2012,"Revista Estudos Feministas","20","2",,"481","484",,1,10.1590/S0104-026X2012000200008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871522214&doi=10.1590%2fS0104-026X2012000200008&partnerID=40&md5=e707288964ee4939b59938092db09c9c","Universidade Federal do Rio Grande do Norte, Brazil","Bento, B., Universidade Federal do Rio Grande do Norte, Brazil",[No abstract available],,,"Bento, B.; Universidade Federal do Rio Grande do NorteBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871522214
"Bento B., Pelúcio L.","Vivências trans: Desafios, dissidências e conformações: Apresentação",2012,"Revista Estudos Feministas","20","2",,"485","488",,,10.1590/S0104-026X2012000200009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871515127&doi=10.1590%2fS0104-026X2012000200009&partnerID=40&md5=ea9189e989fcb444f204fe0dd6b0511d","Universidade Federal do Rio Grande do Norte, Brazil; Universidade Estadual Paulista, Bauru, Brazil","Bento, B., Universidade Federal do Rio Grande do Norte, Brazil; Pelúcio, L., Universidade Estadual Paulista, Bauru, Brazil",[No abstract available],,,"Bento, B.; Universidade Federal do Rio Grande do NorteBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871515127
"Barboza H.H.","Protection of the reproductive autonomy of transsexuals [Proteção da autonomia reprodutiva dos transexuais]",2012,"Revista Estudos Feministas","20","2",,"549","558",,1,10.1590/S0104-026X2012000200015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871503241&doi=10.1590%2fS0104-026X2012000200015&partnerID=40&md5=27be7a97938a263e96f5946a49ce6fd8","Universidade do Estado do Rio de Janeiro, Brazil","Barboza, H.H., Universidade do Estado do Rio de Janeiro, Brazil","Brazilian Constitution ensures the right to family planning founded on the principles ofthe dignity of the human person and that of responsible parenthood. Such right is ensured not onlyto different sex couples but, individually, to men and women alike, for Brazilian Constitution alsoacknowledges individuals as a family community, that is, a ""monoparental family"". In order toensure to every capable person a better fulfillment of that right, disregarding his or her sexualorientation, Brazilian Federal Medicine Council has established ethical norms to assistedreproductive techniques. Regarding transsexuals, it is of utmost importance to critically analyzeTrans-sexualizing Process for it might compromise their reproductive capacities and rights. © 2012 by Revista Estudos Feministas.","Assisted reproduction; Family planning; Transsexual",,"Barboza, H.H.; Universidade do Estado do Rio de JaneiroBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871503241
"Arend S.M.F., Crescêncio C.L., Kroeger J.B., dos Santos R.C.","Sobre a conquista de direitos civis em portugal: Entrevista com miguel vale de almeida",2012,"Revista Estudos Feministas","20","2",,"471","480",,,10.1590/S0104-026X2012000200007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871486843&doi=10.1590%2fS0104-026X2012000200007&partnerID=40&md5=07ee049802bb6385f76cf959f272e260","Universidade do Estado de Santa Catarina, Brazil; Universidade Federal de Santa Catarina, Brazil","Arend, S.M.F., Universidade do Estado de Santa Catarina, Brazil; Crescêncio, C.L., Universidade Federal de Santa Catarina, Brazil; Kroeger, J.B., Universidade Federal de Santa Catarina, Brazil; dos Santos, R.C., Universidade do Estado de Santa Catarina, Brazil",[No abstract available],,,"Arend, S.M.F.; Universidade do Estado de Santa CatarinaBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871486843
"Almeida G.","'Trans men': New colours in the masculinities picture? ['Homens trans': Novos matizes na aquarela das masculinidades?]",2012,"Revista Estudos Feministas","20","2",,"513","523",,4,10.1590/S0104-026X2012000200012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871421955&doi=10.1590%2fS0104-026X2012000200012&partnerID=40&md5=7b20c6a5ce71d630b1edf795fcba0051","Universidade do Estado do Rio de Janeiro, Brazil","Almeida, G., Universidade do Estado do Rio de Janeiro, Brazil","The article discusses in an exploratory form the emergence of a new identity category in Brazil, namely ""transmen"". This identity is constructed as a differentiation from the lesbian identity and also from gender expressions of other groups that had their bodies assigned as female upon birth, but that later refuted this assignment without, however, affirming themselves as ""men"" on a permanent way. The article claims that the emergence of ""transmen"" has been made possible by the establishment of the transexualization process in the Public Health Care System. Furthermore, the article discusses the use of the term ""transman"" and some common characteristics related to those persons. The author critiques their complex processes of selfknowledge and construction of masculinities, as well as their quick capacity for non-differentiation from the stand-point of bodily modifications. Finally, the author discusses the political and subjective consequences of their visibility and non-differentiation. © 2012 by Revista Estudos Feministas.","Gender; Recognition; Transsexual men; Transsexuality",,"Almeida, G.; Universidade do Estado do Rio de JaneiroBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871421955
"Bento B., Pelúcio L.","Depathologization of the Genre: The Politicization of Abject Identities [Despatologização do gênero: A politização das identidades Abjetas]",2012,"Revista Estudos Feministas","20","2",,"569","581",,9,10.1590/S0104-026X2012000200017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871409411&doi=10.1590%2fS0104-026X2012000200017&partnerID=40&md5=89b7535f054b378a8b75c44f0d60a7ba","Universidade Federal do Rio Grande do Norte, Brazil; Universidade Estadual Paulista, Bauru, Brazil","Bento, B., Universidade Federal do Rio Grande do Norte, Brazil; Pelúcio, L., Universidade Estadual Paulista, Bauru, Brazil","Despite the social and political changes in respect of transsexualities and tranvestilities, they are still considered by the APA (American Psychiatric Association) and by the WHO (World Health Organization) as mental disorders. These organizations will disclose in 2013 the new versions of the DSM (Diagnostic and Statistical Manual of Mental Disorders - APA) and the ICD (International Code of Illness-WHO). This has mobilized trans activists claiming the withdrawal of transsexuality from the list of diseases considered as mental disorders. The Stop Trans Pathologization (Stop Pathologizing!) has become a global campaign, reaching 29 countries by early 2012. In this article, we will discuss some initiatives within this campaign and review the gender ideology present in the DSM and the ICD which incorporate the genre as a diagnostic category. Finally, we will present arguments against the gender diagnosis. © 2012 by Revista Estudos Feministas.","Gender; Sexuality; Stop pathologizing campaign; Trans identities",,"Bento, B.; Universidade Federal do Rio Grande do NorteBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871409411
"Junior J.L.","Transit to Where? Monstrosity, (Des)pathologization, Social Insecurity and Transgender Identities [Transitar para onde? Monstruosidade, (des)patologização, (in)segurança social e identidades transgêneras]",2012,"Revista Estudos Feministas","20","2",,"559","568",,4,10.1590/S0104-026X2012000200016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871407111&doi=10.1590%2fS0104-026X2012000200016&partnerID=40&md5=d705798eaf1f9c8133fa47710d01c18d","Universidade Federal de São Carlos, Brazil","Junior, J.L., Universidade Federal de São Carlos, Brazil","The aim of this paper is to discuss the category of ""monster"" and its close relation with the pathologization and criminalization of people seen as ""sexual deviants"", especially transvestites, transsexuals and intersex. At the beginning of the XXI century, with the questioning of medical authority, the politicization of the social movements of transvestites and transsexuals and their battle for despathologization, where to direct the ""disorders"" of sex or gender, ""paraphilias'"" and ""perversions"" with all the persistent stigma attached to them? Will they be understood again as potentially dangerous by the increasingly widespread culture of security?. © 2012 by Revista Estudos Feministas.","Abject; Monster; Sexual science; Transsexuals; Transvestites",,"Junior, J.L.; Universidade Federal de São CarlosBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871407111
"De Carvalhaes F.F., Filho F.S.T.","Life stories of HIV+ women activists: Changes and permanency [Histórias de vida de mulheres HIV+ ativistas: Mudanças e permanências]",2012,"Revista Estudos Feministas","20","2",,"377","398",,2,10.1590/S0104-026X2012000200003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871465093&doi=10.1590%2fS0104-026X2012000200003&partnerID=40&md5=0a4e05aa0a7b068f4af4180c14deb56b","Universidade Federal de Santa Catarina, Brazil; Universidade Estadual Paulista, Assis, Brazil","De Carvalhaes, F.F., Universidade Federal de Santa Catarina, Brazil; Filho, F.S.T., Universidade Estadual Paulista, Assis, Brazil","In these acknowledgment years, AIDS has obliged us to denaturalize social and cultural questions historically built, and that are part of the signs, rules and codes that mark out the society structure and organization, imposing other views and new perspectives towards the complex questions related to gender, bodies and culture. Taking this into consideration, this research was carried out with four HIV+ women activists in the AIDS movement with the objective of apprehending their conceptions about AIDS, the vulnerability contexts that made their infection possible, their vulnerabilities towards the reinfection, and changes and permanency in the affective-conjugal and motherhood fields, from the disease and activism experience. © 2012 by Revista Estudos Feministas.","Activism; Aids; Gender",,"De Carvalhaes, F.F.; Universidade Federal de Santa CatarinaBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871465093
"Duque T.","Methodological-political-theorical reflections on a dying, becoming and being born a teenage transvestite [Reflexões teóricas, políticas e metodológicas sobre um morrer, virar e nascer travesti na adolescência]",2012,"Revista Estudos Feministas","20","2",,"489","500",,2,10.1590/S0104-026X2012000200010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871437895&doi=10.1590%2fS0104-026X2012000200010&partnerID=40&md5=98162ea8c180cd06871c0d4d9e662f70","Universidade Estadual de Campinas, Brazil","Duque, T., Universidade Estadual de Campinas, Brazil","From a survey on teens transvestites in the city of Campinas, this paper aims to reflect on theoretical, policitical and methodological issues that involve the theme of gender and sexuality in contemporary society. It will be valued the need to deepen the study on the conventions and social norms than on focusing the individual him/herself. The subjective and bodily question of the researchers in contact with their interlocutors is also approached, and the scientific neutrality in ethonographies involving trans experiences will also be problematized. In addition, the queer thinking and dilemmas that involve the production of the situated knowledge will be contextualized. © 2012 by Revista Estudos Feministas.","Methodology; Queer theory; Teenage transvestite",,"Duque, T.; Universidade Estadual de CampinasBrazil",,,0104026X,,,,"Portuguese","Rev. Estud. Feministas",Article,,Scopus,2-s2.0-84871437895
